Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
GMKW,A15,0.454188047,0.235131507,-0.121752535,-0.177140045,AOD
GMKW,A16,0.7641827,-0.309223223,0.105805192,-0.589465283,AOD
GMKW,A17,0.608594305,-0.044303522,-0.008407557,-0.388800032,AOD
GMKW,A18,0.802514182,-0.15105565,0.133943176,-0.469660166,AOD
GMKW,A19,0.709019591,0.113078522,0.065311617,-0.269589919,AOD
GMKW,A20,0.557438093,0.030934714,-0.04595979,-0.331810312,AOD
GMKW,A6,0.502741077,-0.049203356,-0.086111219,-0.392511444,AOD
GMKW,A7,0.669192807,0.083138702,0.036075975,-0.292268042,AOD
GMKW,A8,0.349573495,0.181327394,-0.198546922,-0.217894341,AOD
GMKW,A9,0.589842784,-0.187742805,-0.022172483,-0.497449104,AOD
GMKW,C1,0.463480924,0.015273091,-0.114930914,-0.343673316,AOD
GMKW,C2,0,-0.208323335,-0.455158283,-0.513037968,AOD
GMKW,C3,0.484459445,-0.123890099,-0.099531214,-0.449083432,AOD
GMKW,C4,0.454973786,-0.044742891,-0.121175748,-0.389132834,AOD
GMKW,C5,0.418904678,0.008985119,-0.147652992,-0.348436183,AOD
HRWD,C1,0.59797588,0.303461278,-0.016202223,-0.12538319,Far
HRWD,C2,0.740109553,0.303807653,0.08813382,-0.125120826,Far
HRWD,C3,0.641653413,0.276166786,0.015860137,-0.14605759,Far
HRWD,C4,0.605537255,0.328325788,-0.010651645,-0.106549395,Far
HRWD,C5,0.767118634,0.233829168,0.107960372,-0.178126511,Far
HTCH,A10,0.685103141,0.465116235,0.047755272,-0.00293653,AOD
HTCH,A11,0.748637009,0.136833453,0.094393569,-0.251596583,AOD
HTCH,A12,NA,NA,NA,NA,NA
HTCH,A13,NA,NA,NA,NA,NA
HTCH,A14,NA,NA,NA,NA,NA
HTCH,A15,NA,NA,NA,NA,NA
HTCH,A16,NA,NA,NA,NA,NA
HTCH,A17,NA,NA,NA,NA,NA
HTCH,A18,NA,NA,NA,NA,NA
HTCH,A19,NA,NA,NA,NA,NA
HTCH,A20,0.709678108,0.069933551,0.065795014,-0.302270374,AOD
HTCH,A6,0.815201831,0.197785102,0.143256797,-0.205428337,AOD
HTCH,A7,0.59645621,0.453678661,-0.017317767,-0.011599999,AOD
HTCH,A8,0.985001784,0.089456916,0.267901822,-0.287482267,AOD
HTCH,A9,0.748675873,0.496917288,0.094422097,0.021151397,AOD
HTCH,C1,NA,NA,NA,NA,NA
HTCH,C2,0.913343833,0.361874874,0.215299881,-0.08113741,AOD
HTCH,C3,NA,NA,NA,NA,NA
HTCH,C4,0.389243395,0.47735379,-0.169426445,0.006332891,AOD
HTCH,C5,0.662599866,0.082422881,0.031236296,-0.292810245,AOD
HOEF,A10,0.648732957,0.032743985,0.021057017,-0.330439867,AOD
HOEF,A11,0.872334402,0.12102683,0.185196095,-0.263569418,AOD
HOEF,A12,0.813030545,0.219158881,0.141662921,-0.18923862,AOD
HOEF,A13,0.770009911,0.426661404,0.110082772,-0.032064406,AOD
HOEF,A14,0.788428217,0.143697916,0.123603095,-0.246397048,AOD
HOEF,A15,0.84906866,0.211500091,0.168117415,-0.195039824,AOD
HOEF,A16,0.710882171,0.111120817,0.06667888,-0.271072796,AOD
HOEF,A17,NA,NA,NA,NA,NA
HOEF,A18,0.788795626,0.35454163,0.123872798,-0.086692025,AOD
HOEF,A19,0.827400203,0.18780211,0.152211254,-0.212990023,AOD
HOEF,A20,0.8475892,0.433161425,0.167031388,-0.027140921,AOD
HOEF,A6,0.560187225,0.197941595,-0.043941735,-0.2053098,AOD
HOEF,A7,0.870145395,0.370956266,0.183589211,-0.074258646,AOD
HOEF,A8,0.799411255,0.397571058,0.131665411,-0.054099089,AOD
HOEF,A9,0.852251009,0.35729569,0.170453482,-0.084605944,AOD
HOEF,C1,0.604731224,0.221525283,-0.011243329,-0.187446173,AOD
HOEF,C2,0.757724173,0.24387081,0.101064181,-0.1705204,AOD
HOEF,C3,0.431837721,0.251411219,-0.138159235,-0.164808865,AOD
HOEF,C4,0.752897115,0.239894818,0.097520784,-0.173532043,AOD
HOEF,C5,0.7279908,0.048074976,0.079237809,-0.318827302,AOD
HLKH,A10,0.685678187,0.005169313,0.048177396,-0.351326492,AOD
HLKH,A11,0.714792128,-0.13542016,0.069549062,-0.457816956,AOD
HLKH,A12,0.702280244,0.112652536,0.060364466,-0.269912585,AOD
HLKH,A13,0.839524204,-0.541542031,0.161111118,-0.765436764,AOD
HLKH,A14,0.946790731,-1,0.23985224,-1.112698909,AOD
HLKH,A15,0.466349209,-0.003891709,-0.112825393,-0.358189826,AOD
HLKH,A16,0.869913849,-0.571205807,0.18341924,-0.787905795,AOD
HLKH,A17,0.774035794,-0.198925463,0.11303805,-0.505919485,AOD
HLKH,A18,0.658285575,-0.001841151,0.028069306,-0.356636617,AOD
HLKH,A19,0.618246698,-0.092961808,-0.001322026,-0.425656586,AOD
HLKH,A20,0.699142938,-0.029351711,0.058061464,-0.377474679,AOD
HLKH,A6,0.303240545,0.03012054,-0.232558544,-0.332427014,AOD
HLKH,A7,0.73732477,-0.288973413,0.086089595,-0.574126925,AOD
HLKH,A8,0.767133158,-0.059463187,0.107971034,-0.400282824,AOD
HLKH,A9,0.734718137,0.068455613,0.084176144,-0.303389849,AOD
HLKH,C1,0.29681276,0.099998781,-0.237276987,-0.279497259,AOD
HLKH,C2,0.471282899,-0.014660935,-0.109203719,-0.36634705,AOD
HLKH,C3,0.414827602,-0.024785372,-0.15064585,-0.374015875,AOD
HLKH,C4,0.15758093,-0.109167649,-0.339482875,-0.437931811,AOD
HLKH,C5,0.316502717,-0.002135471,-0.222823183,-0.356859551,AOD
LNGDL,A10,0.870919879,0.80243037,0.184157735,0.252564385,AOD
LNGDL,A11,0.778914277,0.258449824,0.116619198,-0.159477425,AOD
LNGDL,A12,NA,NA,NA,NA,NA
LNGDL,A13,0.77606192,0.123742865,0.114525369,-0.261512139,AOD
LNGDL,A14,0.80316969,0.26234077,0.134424366,-0.156530202,AOD
LNGDL,A15,NA,NA,NA,NA,NA
LNGDL,A16,0.80001847,0.100413847,0.13211115,-0.279182864,AOD
LNGDL,A17,0.658500742,0.060165636,0.028227253,-0.309669149,AOD
LNGDL,A18,0.878198801,0.178007557,0.189500973,-0.220408975,AOD
LNGDL,A19,0.837494035,0.209276586,0.159620832,-0.196724033,AOD
LNGDL,A20,0.741050281,0.326767426,0.08882438,-0.107729788,AOD
LNGDL,A6,0.77308454,0.21221767,0.112339764,-0.194496289,AOD
LNGDL,A7,0.722005574,0.345639648,0.074844235,-0.093434893,AOD
LNGDL,A8,0.796883132,0.275167273,0.129809593,-0.146814678,AOD
LNGDL,A9,0.702262746,0.139846538,0.060351621,-0.249314301,AOD
LNGDL,C1,0.709917388,0.071194642,0.065970663,-0.301315153,AOD
LNGDL,C2,0.521706835,0.142614296,-0.072189029,-0.247217843,AOD
LNGDL,C3,NA,NA,NA,NA,NA
LNGDL,C4,0.820707519,0.248645852,0.147298356,-0.166903512,AOD
LNGDL,C5,0.788451622,0.196919463,0.123620275,-0.206084021,AOD
LINEAG,C1,0.469072619,-0.035554265,-0.110826219,-0.382172846,Near
LINEAG,C2,0.333508729,-0.074894598,-0.210339583,-0.411971453,Near
LINEAG,C3,0.33823993,-0.020383367,-0.206866551,-0.370681546,Near
LINEAG,C4,0.531659357,-0.205753354,-0.064883182,-0.511091319,Near
LINEAG,C5,0.485552358,-0.028308971,-0.09872894,-0.376684849,Near
