Plate,Well,Tube,Extraction,Date,Tissue,Site,Tree,SampleWeight,Fluoro,Conc,Band_intensity,Pool,Fw_barcode,Rev_barcode
3,C6,NA,8,09/03/2022,Leaf,Negctrl,Negctrl,0,263.839,-0.387574204,Vlow,Y,F18,R19
3,D6,NA,9,10/03/2022,Leaf,ASHC,C6,0.23,685.494,38.31793518,High,Y,F18,R20
3,E6,NA,9,10/03/2022,Leaf,ASHC,C1,0.27,794.426,48.31726769,High,Y,F18,R21
3,F6,NA,9,10/03/2022,Leaf,ATTP,A17,0.19,682.837,38.07403783,High,Y,F18,R22
3,G6,NA,9,10/03/2022,Leaf,BBW,C3,0.17,617.676,32.09263195,Mid,Y,F18,R23
3,H6,NA,9,10/03/2022,Leaf,CDS,C4,0.21,754.484,44.65082129,High,Y,F18,R24
3,A7,NA,9,10/03/2022,Leaf,GMKW,A8,0.18,820.336,50.69565701,High,Y,F19,R17
3,B7,NA,9,10/03/2022,Leaf,GMKW,A18,0.16,774.003,46.44255349,High,Y,F19,R18
3,C7,NA,9,10/03/2022,Leaf,GMKW,C2,0.19,1047.673,71.56388907,High,Y,F19,R19
3,D7,NA,9,10/03/2022,Leaf,GMKW,A12,0.22,899.645,57.97576811,High,Y,F19,R20
3,E7,NA,9,10/03/2022,Leaf,HLKH,A10,0.22,934.817,61.20435588,High,Y,F19,R21
