Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
7,B5,F18,R5,D2E,260,ANCST,LEAF,1,C5,17/10/2022
7,C5,F19,R5,D2E,265,SLCY,ROOT,3,C5,17/10/2022
7,D5,F20,R5,D2E,268,CDPM,LEAF,3,C5,17/10/2022
7,E5,F21,R5,D2E,271,RCHMD,ROOT,1,C5,17/10/2022
7,F5,F22,R5,D2E,274,LANGDL,LEAF,1,C5,17/10/2022
7,G5,F23,R5,D2E,276,CROC,LEAF,1,C5,17/10/2022
7,H5,F24,R5,D2E,286,DYMK,LEAF,3,C5,17/10/2022
7,A6,F17,R6,D2E,309,WINDW,ROOT,2,C2,17/10/2022
7,B6,F18,R6,D2E,311,WINDW,LEAF,1,C2,17/10/2022
7,C6,F19,R6,D2E,312,WINDW,LEAF,3,C2,17/10/2022
7,D6,F20,R6,D2E,319,HRWD,LEAF,1,C2,17/10/2022
7,E6,F21,R6,D2E,330,ATTP,ROOT,1,C4,17/10/2022
7,F6,F22,R6,D2E,338,SLCY,ROOT,3,C4,17/10/2022
7,G6,F23,R6,D2E,340,SLCY,LEAF,3,C4,17/10/2022
7,H6,F24,R6,D2E,344,BBW,LEAF,3,C4,17/10/2022
7,A7,F17,R7,D2E,7,MCOU,ROOT,2,C1,19/10/2022
7,B7,F18,R7,D2E,9,STHWK,ROOT,1,C1,19/10/2022
7,C7,F19,R7,D2E,17,LNGDL,ROOT,1,C1,19/10/2022
7,D7,F20,R7,D2E,19,RCHMND,ROOT,3,C1,19/10/2022
7,E7,F21,R7,D2E,26,GMKW,LEAF,1,C1,19/10/2022
7,F7,F22,R7,D2E,27,WINDW,ROOT,1,C1,19/10/2022
7,G7,F23,R7,D2E,32,RWDN,LEAF,1,C1,19/10/2022
7,H7,F24,R7,D2E,51,MOCCA,ROOT,1,C1,19/10/2022
7,A8,F17,R8,D2E,62,ANCST,LEAF,1,C2,19/10/2022
7,B8,F18,R8,D2E,65,STHWK,ROOT,1,C2,19/10/2022
7,C8,F19,R8,D2E,75,BBW,ROOT,1,C2,19/10/2022
7,D8,F20,R8,D2E,78,GMKW,LEAF,1,C2,19/10/2022
7,E8,F21,R8,D2E,81,LWBKR,ROOT,2,C2,19/10/2022
7,F8,F22,R8,D2E,99,DYMK,ROOT,3,C2,19/10/2022
